指标,描述,评分及升降分,标题,分数和升降率,客户转化指标,客户数量,进店数,浏览商详,加购,成交数,进店率,浏览率,加购率,加购成交率,新客数打败相似店铺百分率,成交转化率打败相似店铺,浏览率打败相似店铺,进店率打败相似店铺,加购成交率打败相似店铺,top店铺类型,toplistli2,toplistli21,toplistli22,toplistli23,toplistli24,toplistli25,toplistli26,toplistli27,toplistli28,toplistli29,toplistli210,toplistli211,toplistli212,toplistli213,toplistli214,toplistli215,toplistli216,toplistli217,toplistli218,toplistli219,toplistli220,toplistli221,toplistli222,toplistli223,toplistli224,toplistli225,toplistli226,toplistli227,toplistli228,toplistli229,toplistli230,toplistli231,toplistli232,toplistli233,toplistli234,toplistli235,toplistli236,toplistli237,toplistli238,toplistli239,toplistli240,toplistli241,toplistli242,toplistli243,toplistli244,toplistli245,toplistli246,toplistli247,toplistli248,toplistli249
流量表现,该指标代表商品的点击率，由商品近1/3/15/30天的点击率加工产生,"61分
                            0 ",点击率,"46分
                            2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流量表现,该指标代表商品转化率，由商品近1/3/15/30天出库口径的转化率加工产生,"61分
                            0 ",转化率,"14分
                            4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流量表现,该指标代表商品好评率，由商品近60/180天好评率加工产生,"61分
                            0 ",好评率,"81分
                            1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转化率,该指标代表商品的点击率，由商品近1/3/15/30天的点击率加工产生,"14分
                            4 ",点击率,"46分
                            2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转化率,该指标代表商品转化率，由商品近1/3/15/30天出库口径的转化率加工产生,"14分
                            4 ",转化率,"14分
                            4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
转化率,该指标代表商品好评率，由商品近60/180天好评率加工产生,"14分
                            4 ",好评率,"81分
                            1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好评率,该指标代表商品的点击率，由商品近1/3/15/30天的点击率加工产生,"81分
                            1 ",点击率,"46分
                            2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好评率,该指标代表商品转化率，由商品近1/3/15/30天出库口径的转化率加工产生,"81分
                            1 ",转化率,"14分
                            4 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好评率,该指标代表商品好评率，由商品近60/180天好评率加工产生,"81分
                            1 ",好评率,"81分
                            1 ",新客转化分析（潜客及近30天新客户）,389245,7453,7378,696,260,1.91%,98.99%,9.43%,37.36%,32.00,12.00,"
          打败 36.00%相似店铺
        ",20.00,12.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好评率,该指标代表商品好评率，由商品近60/180天好评率加工产生,"81分
                            1 ",好评率,"81分
                            1 ",存量客户转化分析（近360天存量客户）,1673,96,95,24,23,5.74%,98.96%,25.26%,95.83%,6.00,56.00,"
          打败 18.00%相似店铺
        ",76.00,56.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
