查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
主品牌名称,流量排名,点击率(%),转化率(%)
同仁堂（TRT）,1,5.15,9.81
福东海（fudonghai）,2,7.70,21.79
内廷上用,3,3.20,7.00
北京同仁堂,4,4.32,7.65
Sunulos,5,0.79,2.23
香港大药房有限公司,6,2.41,7.86
桑加 1,7,2.14,12.79
神农金康（SHEN NONG JIN KANG）,8,4.25,6.61
香港大药房,9,1.65,4.43
北京同仁堂,10,7.94,7.35
南同四海,11,10.60,14.40
北京同仁堂,12,7.72,7.31
易卜生,13,2.02,3.95
半山农,14,3.81,13.31
江中,15,5.15,15.61
顾生堂,16,5.71,12.94
六养源,17,7.00,10.22
养益君（YANGYIJUN）,18,4.61,9.42
宁安堡（NINGANPU）,19,0.63,6.03
太守堂,20,9.47,11.39
九芝堂,21,3.14,11.00
仲岁堂,22,5.54,6.03
广禾堂,23,1.35,3.93
香港大药房,24,2.10,7.49
丙田,25,5.89,12.33
吾家余堂,26,6.22,7.59
昌济平,27,7.54,6.08
舒元康,28,9.21,10.35
橘州贡品,29,1.12,5.29
信盛堂,30,5.50,10.94
福曦堂,31,7.77,23.59
幸福疆至,32,3.98,10.24
安美奇（ALLNATURE）,33,0.74,0.12
椎名制药,34,2.42,2.89
奥祥堂,35,7.91,11.34
鲜蓉,36,1.41,1.38
五谷磨房,37,2.99,8.61
养庆堂（YANGQINGTANG）,38,5.30,7.97
宝元堂（BAOYUANTANG）,39,9.01,12.80
化小果,40,2.16,1.89
修年堂（XIUNIANTANG）,41,11.39,17.80
雷允上,42,5.29,16.87
新食道,43,0.59,1.33
金燕耳,44,2.69,9.66
张宝山,45,3.35,10.08
雪乾堂,46,0.70,6.27
南京同仁堂,47,4.10,4.07
六和乾坤,48,9.49,12.15
研磨匠,49,2.24,6.37
西麦,50,6.31,14.03
康琪爱倍,51,4.57,9.65
固本堂,52,2.08,13.94
笙而美,53,4.26,9.91
夕苇,54,2.40,3.06
老谷头,55,4.44,11.84
方家铺子,56,7.98,20.22
宫诺,57,1.32,2.44
怡福寿,58,6.52,11.11
觅玺,59,7.17,25.44
徽都中藥材（Huidu zhong yao cai）,60,2.11,9.54
参庆堂,61,13.94,17.96
益延膳,62,1.45,2.26
物择堂,63,5.04,4.08
杞里香（Qi Li Xiang）,64,2.81,21.09
倪海厦,65,1.90,1.69
通用,66,4.02,6.89
老金磨方,67,2.58,21.97
金枫露·生命黄金,68,0.70,0.00
蓉森林,69,0.96,2.24
兆丽健营养生活（Mega Max Nutrition Life）,70,1.09,0.55
大方天麻 DA FANG GASTRODIA ELATA,71,0.43,0.92
佰草令（BAICAOLING）,72,6.72,13.61
南京同仁堂,73,3.45,5.17
福记坊,74,7.70,8.70
国药,75,1.65,7.63
康创优品,76,1.88,0.00
严元堂,77,16.48,11.63
白云山,78,8.91,8.43
百华源,79,6.04,2.69
丽天承,80,10.87,13.38
南同九坊,81,12.89,13.49
虫小沐,82,2.31,2.23
怀先生,83,13.60,15.77
从容硬对（CongRongYingDui）,84,4.45,5.99
沪仁堂,85,3.50,1.69
L-CALORIE,86,8.78,6.23
healthdream,87,2.50,7.14
李时珍,88,4.03,7.14
泽泓斋,89,1.39,8.22
朕皇,90,5.25,13.26
渭水鸿（weishuihong）,91,6.06,12.47
金丝耳,92,3.21,5.23
庆祁堂,93,10.39,20.44
善固益,94,5.82,4.99
松山堂,95,0.91,6.67
敬贤堂（JINGXIANTANG）,96,9.55,12.87
雄在,97,6.49,5.29
通用,98,6.23,7.38
优美达（UMETA）,99,0.41,0.69
尔娅贝,100,1.29,3.13
墨源（moyuan）,101,7.71,14.11
初湛（Chuzhan）,102,2.27,1.59
仲药匠,103,1.98,7.73
漠北至尊,104,2.15,1.83
Aehig,105,0.58,1.56
味琳琅,106,2.78,1.64
百灵鸟,107,9.86,8.95
南京同仁堂,108,2.27,2.32
品自端,109,4.26,7.50
广济堂,110,3.43,9.36
祖医堂,111,0.59,2.13
康佩恩,112,10.99,9.65
康裕尊,113,6.60,8.80
喜纯,114,5.11,18.89
宜露,115,7.00,4.95
膳鼎祁,116,5.88,2.57
高原安,117,13.78,18.00
粮粹,118,6.59,8.25
韩太医,119,0.64,0.52
劲家庄（JinJiaZhuang）,120,14.98,14.08
御九华,121,5.77,3.97
泽信堂,122,3.58,6.56
通用,123,1.81,0.76
养年华,124,10.87,18.08
宝子乐,125,2.60,16.73
磊祥庄,126,5.68,9.19
冬海红,127,3.04,5.15
