查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
地域名称,展现指数,点击率(%),转化率(%)
广东省,7047426,4.79,11.12
北京市,3862354,4.54,11.18
山东省,3083936,4.93,9.68
江苏省,2883075,4.96,11.16
河北省,2543534,4.99,8.79
四川省,2245295,5.38,10.70
河南省,2103466,4.33,8.81
上海市,1716118,4.91,13.23
浙江省,1639490,4.45,11.34
辽宁省,1576917,5.22,10.20
陕西省,1459426,5.20,9.92
湖北省,1418676,4.85,9.97
福建省,1239512,4.01,10.56
湖南省,1213401,4.63,10.53
安徽省,1099218,4.54,10.42
天津市,1020121,5.10,10.80
广西壮族自治区,1014358,4.63,9.12
重庆市,880133,5.23,10.86
江西省,847113,3.85,9.75
山西省,831873,4.63,8.19
黑龙江省,780637,5.02,8.81
吉林省,709841,4.89,9.95
新疆维吾尔自治区,634722,4.83,9.32
内蒙古自治区,598593,5.06,9.57
云南省,540048,4.65,8.87
甘肃省,468985,4.89,9.29
贵州省,444864,5.02,10.32
海南省,348383,5.11,11.30
宁夏回族自治区,175431,4.96,9.90
青海省,101605,4.88,10.49
西藏自治区,87010,4.54,12.56
其他,20481,2.00,3.23
