查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
关键词,搜索指数,竞争力
黄芽汤同仁堂,12397,331.36
黄芽汤代茶饮,8744,592.42
灵芝枇杷叶麦冬片,8501,538.57
黄芪双参枸杞丸,7629,519.70
西洋参枸杞丸,6823,514.15
减肥险,6663,764.87
灵芝枇杷叶麦冬片官方旗舰店,5796,420.57
双黄当归栀子片,5069,537.88
杞菊石斛地黄决明子片南京同仁堂,4809,83.35
黄芽汤代茶饮京东官方正品,4510,447.12
杞菊乌参片,4158,57.71
茯苓茶氨酸片,3969,821.13
双黄当归栀子片官方正品,3660,148.08
灵芝枇杷叶麦东片,3280,520.88
双花党参灵芝片,3116,194.54
黄芽汤代茶饮央视推荐茯苓干姜党参炙甘草,2944,273.01
快乐减重活动,2567,1582.85
moskeo小黑瓶,2538,507.60
杞菊石斛地黄决明子片,2527,246.19
天麻当归平卧菊三七片,2445,139.52
轻小莱西芹苹果青瓜饮,2340,239.89
灵芝批把叶麦冬片,2290,308.54
佛手香橼茯苓汤,2249,348.35
稳心颗粒无糖18袋步长厂家直销,2133,135.80
黄芽汤中国邮政,2117,138.78
黄芽汤京东自营,2045,197.73
佰德维清脂灵,2036,537.88
黄芽汤京东正品,1961,372.26
双黄当归桅子片,1934,285.29
海洛迪胃康,1919,467.54
黄芽汤官方正品,1851,335.15
esk牛大力,1833,193.47
淫羊藿肉苁蓉锁阳黄精五味子菟丝子玛咖片鹿茸泡酒,1793,21.58
双黄当归栀子片京东药房,1687,257.96
黄芪党参枸杞丸,1659,276.32
培季堂茯苓膏,1633,177.53
杞菊石斛地黄决明子子片,1620,170.70
西芹苹果青瓜饮,1461,287.35
黄芽汤减肥茶,1450,192.39
康普茶,1385,2118.12
香橼黄芪茯苓片,1369,238.56
鸡胗,1273,5600.71
维生素b12国药准字,1249,513.67
桂圆琼玉颗粒京东,1246,126.04
津固堂,1212,32.40
天麻杜仲叶平卧菊三七通络片京东自营,1194,91.44
灵芝琵琶叶麦冬片,1189,413.56
轻益妙薏仁片,1147,432.72
培季堂茯苓,1137,218.55
消炎利胆片白云山,1109,121.50
yh葛根饮,1108,232.98
灵芝西红花菊苣茯苓片,1080,150.83
中国邮政黄芽汤,1026,176.36
游怀堂六玉,1018,469.56
同仁堂黄芽汤,1017,116.80
黄芽汤邮政,1009,140.62
黄芽汤代茶饮茯苓祛湿排毒去除湿气瘦肚子,1008,137.30
灵芝枇杷麦冬片,1005,95.77
青甘源官方旗舰店林老师,999,80.90
山茱萸天麻茯苓栀子地黄片,991,96.30
淫羊藿肉苁蓉锁阳黄精五味子菟丝子玛咖片鹿茸泡酒药材,969,128.05
安顶立,957,136.18
黄芽汤代茶饮减肥燃脂,956,267.88
七白玉容散,952,199.30
海洛迪平衡片,938,200.86
扫帚苗全草中药,934,220.94
达克迪失眠片,932,4411.46
黄芪麦冬膏润肠排便,897,148.77
灵芝枇杷叶槲皮素片,873,407.72
北京同仁堂黄芽汤,872,80.90
覆盆子自营旗舰店,852,0.00
可奥优东革,838,311.69
灵芝枇杷叶麦冬片加强版,829,130.03
山茱萸肉苁蓉黄精人参枸杞原浆,823,63.49
灵芝批杷叶麦冬片,814,99.91
佛手香缘茯苓汤,810,147.39
双黄当归栀子片湿疹止痒症,808,64.27
灵芝枇杷叶麦冬片官方正品,805,107.26
灵芝杞菊地黄i片,803,25.68
黄芪双参枸杞丸西洋参党参独立包装,802,217.11
石斛砂仁麦冬片官方旗舰店,793,236.34
黑豆黑米黑芝麻黑桑葚黑枸杞,793,78.36
减肥药减肥瘦肚子燃脂正品100%正品,788,298.02
枸菊石斛地黄决明子片,777,256.11
快乐减肥,773,7577.58
灵芝山茱萸天麻杜仲叶片搭血管心脏,758,98.89
邮政农品黄芽汤,756,104.38
当归灵芝杜仲叶茯苓片,753,56.84
蒲公英白梅花,748,164.54
东康恩芹菜籽,743,241.64
正品金枪丸不倒美国虎王,743,108.21
氨基酸酶解骨粉片,741,494.69
适元臣芹菜籽片,736,41.71
肉苁蓉锁阳淫羊藿黄精五味子菟丝子沙苑子,729,139.89
天麻当归杜仲叶平卧菊三七片京东自营,725,25.68
鸣宝,723,243.60
桂蒲肾清胶囊,720,138.04
南京同仁堂杞菊石斛地黄决明子片,695,52.27
立补秋金胶囊,689,224.47
灵芝杞菊地黄1片官方店神经性耳,672,21.58
纯恩堂茯苓膏,670,0.00
灵芝山茱萸天麻杜仲叶片京东自营,669,55.06
邮政黄芽汤,666,138.04
灵芝枇杷叶麦冬片京东官方旗舰店,662,126.04
番泻叶减肥茶叶瘦身,658,72.35
减重活动,643,2216.91
冠友佳桑叶,615,489.20
九华黄精果九蒸九晒,614,150.49
党参铁皮石斛甘草片,614,242.08
灵芝山茱萸天麻杜仲叶片药有品,609,97.34
三子强肾胶囊北京同仁堂,602,70.24
阿胶肽红参黄精饮,600,311.86
温脾祛湿丸,599,36.67
烩面,597,13923.88
灵芝杞菊地黄丸片,595,19.23
维糖灵,588,503.04
石解砂仁麦冬片,586,0.00
荷叶山楂白芥子茶减肥茶减肥瘦肚子燃脂减肚子,579,73.05
香橼黄芪茯苓片非祛湿,576,248.33
当归灵芝杜仲茯苓片,574,50.33
情趣用品,571,20503.82
石斛砂仁麦冬片北京同仁滋补养生小店,566,133.52
黑芝麻黄精糕,565,225.64
嘉膳之和,563,236.57
培季堂茯苓膏官方旗舰店正品,556,57.71
嘉善之和红参饮,550,73.73
以岭通心络胶囊,548,160.10
poy小蓝瓶,541,147.04
快了减重,541,441.09
健脾祛湿靈,540,0.00
叶同仁黄芽汤,536,96.82
舒宝森茯苓膏,535,241.86
灵芝杞菊地黄片,534,248.33
甲状腺结节专用肺结节蒲公英茶,529,154.20
赤康茯苓,528,0.00
杞菊石斛决明子片,526,171.31
荷叶山楂白芥子茶减肥茶减肥瘦肚子燃脂,520,61.89
银耳百合杏仁露,514,333.34
前列金丹胶囊,513,98.89
花益珠胶囊,504,329.21
双黄当归枙子片,496,35.30
康必出决明子,495,287.72
欧可米晚安宝,489,283.59
美莱科薏仁片,489,27.51
灵芝枇把叶麦冬片,483,60.26
山茱萸天麻茯苓地黄栀子片,477,197.99
北京同仁堂黄芽汤代茶饮,476,127.25
林芝枇杷叶麦冬片,462,69.52
佰德维清脂灵胶囊,457,237.68
荷香静梦片,455,136.55
杞菊石斛地黄决明片,448,151.51
天麻当归三七通络片京东自营,446,64.27
芪风固表颗粒北京同仁堂,446,0.00
茯苓干姜党参炙甘草,443,332.19
西洋参石斛麦冬陈皮玉竹,442,148.77
糯叽叽,440,964.36
国产马厉瓶,439,62.70
灵芝枇杷叶,439,141.71
约氏布芙尼,437,908.27
杞菊地黄石斛决明子片视力模糊,434,155.20
蚁力神正品,434,209.01
黄芽汤养生茶,434,94.71
益立维,432,115.48
杞菊地黄石斛决明子片,430,112.36
桑葚干新疆黑桑葚干京东自营,429,19.23
西西尼克祛湿清,428,481.68
荷叶山楂白芥子茶减肥茶祛湿减肥瘦肚子,423,98.38
黑五领取,423,135.80
嘉膳之和红参饮,421,165.17
双簧当归栀子片,415,25.68
黄芽汤代茶,410,111.45
