查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
关键词,搜索指数,竞争力
医药馆,51510,197676.64
黄芽汤,45784,3608.43
黑五,35162,17762.80
黄精,31251,25796.38
无花果干,25274,107252.01
饮料,22960,641031.87
茯苓,20505,50994.76
京东大药房,20017,19086.20
甘草片,18077,37898.97
桑葚干,17943,95579.00
桑葚,17683,120384.89
黑芝麻,16891,355717.65
肉苁蓉,16041,18884.29
无花果,15779,71449.48
山药,15157,143955.52
酸枣仁粉,14455,16001.69
麦冬,14067,11380.91
八珍糕,13932,86559.82
面条,13530,327684.06
五红汤,13361,7621.30
覆盆子,13319,10465.21
黑芝麻糊,12914,61823.07
丹栀逍遥丸,12863,1349.94
复方甘草片,12861,9135.27
京东大药房官方旗舰店京东自营,12852,2869.94
力补金秋胶囊,12701,422.88
红枣,12591,386634.59
酸枣仁,12288,48032.01
柴胡舒肝丸,12256,13779.09
天麻三七通络片,11867,1606.84
山楂,11201,494165.63
复方塞隆胶囊,11068,7525.32
沙苑子,10492,9245.85
舒筋健腰丸,10119,916.79
天麻,10048,11043.57
无花果干京东自营官方旗舰店,10031,936.44
川贝,9873,7674.81
燕麦片京东自营旗舰店,9863,1096.05
果汁,9757,293596.63
黑芝麻丸,9684,104361.64
芡实,9609,64228.66
柿子叶,9546,2907.11
莲子,9407,108238.63
复方枸杞子胶囊,9301,8177.22
枇杷,9298,23331.88
甘草金桔,9213,19551.65
珍苓解郁胶囊,8995,714.51
肉苁蓉锁阳淫羊藿,8919,2749.01
黄精京东自营官方旗舰店,8760,532.79
鸡内金,8754,38659.13
四逆散,8415,2526.64
柴胡舒肝散,8247,9441.20
左归丸,8185,2637.19
交泰丸,8169,30325.91
当归,8151,24742.29
无湿轻,8023,2633.49
nfc果汁,7968,3531.82
菟丝子,7959,6818.85
秦艽,7786,3387.90
山楂干,7621,130212.55
参芪二仙片,7433,598.29
南北干货,7316,126134.48
夏枯草,7314,19974.89
龙胆泻肝丸,7294,7827.49
杏仁,7237,131427.15
山药粉,7193,48989.94
西梅汁,7155,66223.32
香砂六君丸,7145,3506.54
茯苓京东自营官方旗舰店,7082,474.21
迈之灵,7043,1118.54
黄芪,6953,32879.08
宝塔糖,6949,12853.50
紫苏叶,6891,4543.52
祛湿排毒去除湿气瘦肚子,6873,85671.36
五指毛桃,6820,26049.33
中药,6815,353924.12
逍遥丸,6702,3376.20
银耳,6664,175803.60
山茱萸,6641,4251.81
黄精九蒸九晒,6559,3767.88
甘草,6422,67786.60
黄芪双参枸杞丸,6348,519.70
复方甘草口服溶液,6299,1001.91
麦芽糖,6213,148088.22
淫羊藿,6209,18285.19
天麻杜仲叶平卧菊三七通络片,6201,678.44
梨膏糖,6190,56471.71
乌梅,6119,63927.93
百合干,6076,40462.40
五红粉,6036,857.19
早餐,5987,1225919.16
