查询条件,""数据口径: 15天/点击/不含赠品/下单订单; 产品线: 互动广告", 搜索快车", 智能投放", 推荐广告", 站外广告; 时间: 2025-04-13至2025-04-18; 行业选择: 药食同源""
关键词,搜索指数,竞争力
西洋参枸杞丸,5743,514.15
黄芪双参枸杞丸,6348,519.70
锁阳淫羊藿肉苁蓉,2536,452.06
牛大力京东自营旗舰店,4458,59.42
西瓜京东自营官方旗舰店,2435,131.59
黄芽汤代茶饮京东官方正品,2812,447.12
刺梨汁原浆100%京东自营官方旗舰店,2771,69.52
桑葚干京东自营官方旗舰店,3706,191.31
杞菊石斛地黄决明子片南京同仁堂,2615,83.35
温胃降逆颗粒,2005,282.26
黑芝麻黑豆黑米黑枸杞桑葚,3253,1302.15
梨,2549,4937.36
舌下片,1851,180.71
珍苓解郁胶囊,8995,714.51
新疆特产京东自营旗舰店,1753,1522.92
补天大造丸,1689,7147.74
红景天,4372,2601.89
黄金玛卡,1865,2495.89
亚麻籽粉,3622,14452.67
固肾丸,3069,526.51
健脾降脂颗粒官方正品,1934,138.04
胖东来大药房,2184,6383.81
生脉散,5433,772.34
山药粉100%京东自营官方旗舰店,2086,166.72
宝塔糖京东自营店旗舰店,1695,101.42
交感丸,1795,345.65
枇杷,9298,23331.88
糖尿病人专用食品京东自营旗舰店,2275,450.63
花椒,1844,305436.22
韭菜籽枸杞茶,1728,844.78
久食典茯湿膏,1705,633.74
生精固肾丸国药准字,1924,156.52
山楂茯苓颗粒去湿气中成药减肥,1627,312.56
党参丁香茯苓片,3183,1019.30
丝瓜,1664,10192.61
京东买药,5806,96439.97
减肥险,3971,764.87
双黄当归栀子片,3015,537.88
薏米京东自营官方旗舰店,1658,447.77
回奶药,2248,6040.75
黄芪,6953,32879.08
橘红,2582,8147.57
竹盐枇杷干京东自营旗舰店,1872,409.67
秦艽的功效与作用,1885,192.39
金银花柚子汁,4245,22555.74
酸枣仁膏,1533,9980.34
黄芪京东自营官方旗舰店,2445,514.03
八角,1498,203200.53
莲须,2919,1099.03
面,4379,283171.25
五红汤京东自营旗舰店,2165,102.91
零食京东自营官方旗舰店,1812,8394.92
山药干,2443,2816.01
芍药,3568,10069.77
顶天柱,2706,735.72
天麻当归三七片,2217,127.25
黒五,1929,444.24
五苓散京东自营旗舰店,1356,0.00
回奶宝,2045,4734.23
五白谷物即食麦片京东自营降血糖,2015,81.52
止咳化痰清肺,2220,16712.63
薏米,5112,75342.32
荷叶,1959,98172.00
有机食品,2760,49592.53
饼干京东自营官方旗舰店,1389,1984.97
面 挂面,1738,47312.59
苹果醋官方京东自营旗舰店,1360,336.94
保济丸,4573,2445.09
金银花,3553,52991.95
白桦树汁100%京东自营,1577,475.58
复方苁蓉胶囊正品北京同仁堂,4650,208.26
南瓜,1796,60686.38
白术薏仁胶囊,2752,927.87
独脚金,1720,585.64
孜然粒,1612,3085.44
马蹄,1815,58921.50
下火食物排行榜10强,1373,238.34
奇亚籽,2791,80442.47
无花果干京东自营官方旗舰店,10031,936.44
枳术丸,1973,1961.00
白术京东自营旗舰店,2087,93.63
红曲粉,1775,19284.96
小建中汤,1288,2372.08
白术薏仁胶囊减肥,1481,603.81
龟鹿二仙膏,1664,4205.08
白芷,4742,13001.57
清心去火的食物有哪些,1990,558.74
打虫药成年人,1905,613.37
猴头菇京东自营官方旗舰店,2316,336.62
医药馆入口,4700,8597.25
韭菜籽,4448,4187.45
果汁100%果汁,2051,672.52
升白细胞最快的食物,1479,1188.98
小茴香,1408,3529.23
益安宁丸,3398,719.09
茶,1243,336436.26
京东自营药房,3257,625.18
西洋参,1948,19680.05
化橘红,2325,5659.29
银耳京东自营旗舰店,1710,545.46
葛根粉,3523,91696.21
补肾固齿丸,4419,480.56
金银花露,4728,11926.72
买药,2966,57680.97
礼盒,1652,9333102.42
饮料京东自营旗舰店,1946,1029.20
养生茶,1245,164825.77
藿香清口汤,1800,427.35
乌灵胶囊,2006,587.61
猫爪草,3569,7744.19
舒肝益脾颗粒,3151,791.62
清清宝,1253,2726.47
甘草中药材,1588,2402.54
迈之灵片的功效与作用,1470,95.24
雪梨,1584,17200.94
山药京东自营官方旗舰店,4330,270.06
nfc京东自营旗舰店,2763,303.59
九制黄精,2694,845.91
川贝粉,3353,3509.12
当归补血丸,2660,1922.34
四物汤京东自营官方旗舰店,2266,136.18
草果,1860,3211.41
防风,1577,408521.27
柴胡四妙散,1206,282.26
柴胡疏肝散,3274,4094.64
棒棒糖,1818,198569.21
养胃护胃修复胃黏膜,1239,4760.55
红枣京东自营官方旗舰店,3027,1095.33
健脾八珍糕,3130,1219.37
菟丝子京东自营旗舰店,3533,136.18
杏仁粉,2369,25991.74
莲子京东自营官方旗舰店,3914,428.97
松花粉京东自营旗舰店,2767,167.96
舒肝益脾颗粒源合盛,1451,115.04
四物合剂,2556,447.64
鸡血藤京东自营官方旗舰店,1254,144.22
沙苑子京东自营旗舰店,3326,152.53
真武汤,1638,2143.89
导赤散,1254,740.54
葛根粉京东自营旗舰店,1741,305.72
西梅,3880,110353.31
羊肚菌京东自营官方旗舰店,1381,629.63
甘草片京东自营官方旗舰店,4262,187.19
淫羊藿京东自营官方旗舰店,3344,308.54
银耳羹,1351,73810.60
肉桂,1275,29682.22
饮料,22960,641031.87
亚麻籽,3097,40575.44
秦艽京东自营旗舰店,3664,197.20
姜黄粉京东自营旗舰店,1371,160.10
山楂,11201,494165.63
枇杷干,4804,26118.89
防风通圣丸,4494,6929.82
朱砂,1323,455906.37
刺梨,3680,62211.20
饴糖,1289,3889.95
白芷粉,2335,1547.68
炒酸枣仁,2654,2045.27
卡麦,2236,1630.89
雪梨干,1292,4660.58
白芍京东自营官方旗舰店,1206,100.92
树莓,1698,14457.31
桑葚,17683,120384.89
淮山药京东自营官方旗舰店,1383,161.06
海底椰,2527,5517.03
七白饮京东自营旗舰店,1901,167.96
肾精草,1962,1301.43
泽泻,1225,2577.57
刺梨汁,1735,4625.18
二陈丸,5317,1923.89
五行健脾散,3484,1755.84
合欢皮,1513,885.33
川贝,9873,7674.81
生黄精,1160,437.91
迈之灵有什么功效,1269,45.13
消渴丸300丸京东大药房,2255,135.42
塔塔糖,3773,3379.79
沙棘,1736,32327.26
椰奶益生菌麦片京东自营店,2191,145.63
天麻三七通络片,11867,1606.84
八仙果,2561,4646.15
山楂片,5235,272182.02
五仙膏江苏七零七天然制药厂庄太医,1258,359.15
化州橘红,1580,13826.25
夏枯草京东自营旗舰店,2138,67.32
白术中药材,2364,2660.96
梨膏糖京东自营官方旗舰店,1774,156.52
橄榄,3653,85094.37
黄栀子,1279,1231.54
粥,1391,126859.10
怀山药干,1181,446.34
苓桂术甘汤,1245,1753.85
乌梅干,2302,32171.58
三七片,1322,3662.00
四磨汤,1887,374.80
无糖食品糖尿病人京东自营,3630,4710.07
焦三仙,1237,769.33
酸梅汤,1273,40992.22
丝瓜络,2251,8516.65
养生酒,1413,13102.97
半夏泻心汤,1842,8347.54
灯芯草,1723,2401.31
面条京东自营旗舰店,3516,413.97
牛大力,3268,2318.04
蔬菜,1231,738595.99
火麻仁,1302,2980.08
肉苁蓉京东自营官方旗舰店,4726,337.43
平胃散,2048,5425.48
桑葚京东自营官方旗舰店,2428,248.12
养血当归颗粒,4813,2535.21
苍术,1746,1765.28
汤料包,1250,40920.89
菟丝子,7959,6818.85
白芷粉京东自营官方旗舰店,2024,211.99
女贞子桑葚,1721,124.41
黑蒜,1419,21928.12
山楂京东自营旗舰店,1113,349.15
覆盆子,13319,10465.21
李时珍葛根灵芝护肝片京东自营,1418,496.63
宝塔糖,6949,12853.50
柴胡舒肝散,8247,9441.20
银耳,6664,175803.60
黑枣,2491,46146.17
山茱萸中药材正品官方旗舰店,1104,143.15
力补金秋胶囊官方旗舰店,4726,359.77
桑叶,2523,35861.60
四物颗粒,1301,396.98
巴戟天京东自营官方旗舰店,1546,172.51
虎乳菌,1421,1872.29
无花果,15779,71449.48
山楂茯苓颗粒京东自营,3175,220.23
二精丸,1643,695.87
芡实京东自营官方旗舰店,4197,443.72
养胃食品,2884,101099.59
柴胡中药材,1110,1240.93
大枣,3764,199593.86
沙苑子菟丝子,1469,1349.04
麦冬京东自营官方旗舰店,4881,600.67
鹰嘴豆,2277,83033.82
干果,1141,404657.47
桑葚干,17943,95579.00
四君子丸,5139,4868.73
川芎中药材,1367,1101.92
肉苁蓉,16041,18884.29
平胃丸,1463,686.57
越鞠保和丸,1349,965.09
枳实消痞丸,2269,1903.95
黑米,2001,194205.70
杏仁,7237,131427.15
黑芝麻丸京东自营官方旗舰店,1681,543.63
八正散,1895,2309.10
京东大药房官方旗舰店京东自营,12852,2869.94
去湿气排毒排体内湿寒大肚子,1146,4254.34
五黑桑葚黑枸杞黑芝麻京东自营,2826,334.16
紫苏叶,6891,4543.52
杏仁京东自营官方旗舰店,5044,646.30
玉屏风颗粒,2944,1780.22
枸杞,4108,152918.49
橘子,1283,30790.28
胶囊空壳,5315,11601.20
脾胃舒丸,1169,533.61
燕麦,2018,176506.40
陈皮,1433,118135.81
舒肝解郁丸,1396,487.85
白术,5538,9455.47
四君子汤,4105,13167.18
复方甘草片京东自营旗舰店,1963,36.67
力补金秋胶囊正品,1825,306.07
益安宁丸京东大药房官方旗舰店,4335,293.28
甘草片,18077,37898.97
豆浆,2857,134649.16
山楂干,7621,130212.55
药品,1201,126708.06
酸枣仁,12288,48032.01
减脂,1478,383891.84
燕麦片,2638,118538.93
石榴汁,1513,5954.98
银杏叶片京东自营旗舰店,2305,133.90
贝母,1213,8123.75
姜黄粉,4344,17592.16
四磨汤口服液,1928,389.36
沙棘原浆100%京东自营官方旗舰店,3795,432.72
乌梅京东自营官方旗舰店,1368,218.31
蜈蚣,1062,12509.49
山药,15157,143955.52
桂附地黄丸,3156,2142.60
沙苑子,10492,9245.85
西梅汁,7155,66223.32
莲子,9407,108238.63
复方甘草口服溶液,6299,1001.91
伏芩京东自营旗舰店,1468,25.68
泡水喝的,1166,43801.25
五红汤,13361,7621.30
葛根,3259,51763.72
五红粉,6036,857.19
买药京东自营京东大药房,2436,1382.52
夏枯草中药材,2421,1819.03
桦树茸京东自营旗舰店,3266,244.68
白茅根,1265,1724.57
车前子壳粉,1577,2260.44
桑葚汁,2707,5886.32
栀子,2005,15190.39
黄精,31251,25796.38
杞菊地黄丸,1831,1174.38
nfc果汁,7968,3531.82
健康零食,2033,676886.44
中药材,1533,116141.97
香砂养胃丸,2715,1988.37
黑芝麻熟,2010,11594.09
杏仁七白饮,5414,3506.30
桑椹,4593,29339.23
沙棘籽油,1259,1966.91
